epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
40,22135.7,0.74219,2.21279,0.22744,0.35754,0.0126,0.83945,0.97786,0.97591,0.99125,0.9087,0.90728,0.88607,0.91545,0.80475,0.52447,1.33522,0.06606,0.19578,0.01129,0,0.0183351,0.0061117,0.0183351,0.0061117,0.0183351,0.0061117,0.0183351,0.0061117
41,22591.1,0.74806,2.16858,0.22379,0.35594,0.01256,0.71265,0.9783,0.97528,0.99133,0.90937,0.90486,0.88887,0.91582,0.80718,0.52335,1.32533,0.06583,0.19466,0.01127,0,0.018036,0.006012,0.018036,0.006012,0.018036,0.006012,0.018036,0.006012
42,23063.7,0.73971,2.15356,0.22291,0.35126,0.01256,0.68305,0.97824,0.97389,0.9913,0.90968,0.90453,0.88866,0.91648,0.80856,0.52186,1.3127,0.06556,0.19522,0.01124,0,0.0177369,0.0059123,0.0177369,0.0059123,0.0177369,0.0059123,0.0177369,0.0059123
43,23529.5,0.73439,2.14034,0.2233,0.34346,0.01253,0.72111,0.97986,0.97352,0.99138,0.91029,0.9071,0.8922,0.91876,0.81034,0.52061,1.29878,0.06563,0.19527,0.0112,0,0.0174378,0.0058126,0.0174378,0.0058126,0.0174378,0.0058126,0.0174378,0.0058126
44,23992.6,0.73111,2.08586,0.22031,0.34176,0.01237,0.60244,0.97584,0.9779,0.99145,0.91025,0.90723,0.89354,0.91931,0.81129,0.51986,1.29042,0.06555,0.19453,0.01119,0,0.0171387,0.0057129,0.0171387,0.0057129,0.0171387,0.0057129,0.0171387,0.0057129
45,24453.9,0.74077,2.11657,0.22044,0.35108,0.01253,0.67749,0.97623,0.97874,0.99149,0.91075,0.91224,0.89257,0.9203,0.81241,0.51941,1.28241,0.0655,0.19255,0.01118,0,0.0168396,0.0056132,0.0168396,0.0056132,0.0168396,0.0056132,0.0168396,0.0056132
46,24918.1,0.7254,2.06633,0.21926,0.33715,0.01235,0.48258,0.97686,0.97706,0.99138,0.91114,0.91084,0.8927,0.92037,0.81453,0.51823,1.27734,0.06553,0.19294,0.01115,0,0.0165405,0.0055135,0.0165405,0.0055135,0.0165405,0.0055135,0.0165405,0.0055135
47,25402.2,0.71533,2.03308,0.21874,0.33365,0.01216,0.47773,0.97605,0.97656,0.99138,0.911,0.90901,0.895,0.92079,0.81526,0.51686,1.26895,0.06546,0.19338,0.01112,0,0.0162414,0.0054138,0.0162414,0.0054138,0.0162414,0.0054138,0.0162414,0.0054138
48,25858.7,0.71409,2.02822,0.22271,0.32888,0.01222,0.46006,0.98025,0.97439,0.99137,0.91124,0.90971,0.89639,0.92259,0.81603,0.51598,1.26381,0.06536,0.19227,0.0111,0,0.0159423,0.0053141,0.0159423,0.0053141,0.0159423,0.0053141,0.0159423,0.0053141
49,26323.1,0.71043,1.9751,0.21404,0.33058,0.01197,0.31975,0.98008,0.97489,0.99144,0.91152,0.91308,0.89843,0.92422,0.81733,0.51534,1.25885,0.06508,0.19055,0.01108,0,0.0156432,0.0052144,0.0156432,0.0052144,0.0156432,0.0052144,0.0156432,0.0052144
50,26787.8,0.71665,2.00966,0.21545,0.32399,0.01198,0.37622,0.97963,0.97553,0.9914,0.91188,0.91494,0.89919,0.9257,0.81839,0.51446,1.25354,0.06498,0.19003,0.01107,0,0.0153441,0.0051147,0.0153441,0.0051147,0.0153441,0.0051147,0.0153441,0.0051147
51,27252.2,0.71644,2.0149,0.21666,0.33612,0.01216,0.38793,0.97894,0.97566,0.9914,0.91201,0.91613,0.89831,0.92615,0.81931,0.51342,1.24771,0.0649,0.18951,0.01104,0,0.015045,0.005015,0.015045,0.005015,0.015045,0.005015,0.015045,0.005015
